,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Equatorial Guinea,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Eritrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24556,0.24037,0.2403,0.24096,,,,,,,,,,,,,,,,NA,NA
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,NA
Ethiopia,NA,NA,NA,NA,NA,NA,0.22383,0.22798,0.1724,0.233,0.21132,0.18,0.24124,0.24368,,,,,,,,,,,0.0952614426,,,,,,,,,NA,NA
Falkland Islands (Islas Malvinas),NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Faroe Islands,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Finland,3.62630709,4.482915064,3.854735883,4.568575862,4.62568306,5.021917808,5.6246575343,6.4164383562,8.6803278689,6.002739726,4.2246575343,6.7342465753,8.5601092896,8.8657534247,9.3123287671,7.1506849315,10.3989071038,9.4739726027,10.901369863,6.5150684932,6.912568306,4.9260273973,7.3397260274,8.6109589041,8.4617486339,9.9452054795,12.8410958904,11.4438356164,11.218579235,8.6821917808,7.8,12,8.1,9.8,NA
Former Czechoslovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Former Serbia and Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-
Former U.S.S.R.,NA,NA,NA,NA,NA,NA,299.125,290.2339,275.62872,215.61325,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Former Yugoslavia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
